material_id,formula,work_function_eV,E_ads_DFT_eV,band_gap,formation_energy,energy_hull,bulk_modulus,shear_modulus,young_modulus,data_source,calculation_method,chemical_family,chemsys_type,mean_atomic_mass,mean_electronegativity,mean_atomic_radius,mean_valence_electrons,li_atomic_fraction,n_elements,pugh_ratio,poisson_ratio,cauchy_pressure,hardness_gpa,vol_expansion_resist
5199,LiCr9O27,9.249854,-7.10229,1.902,-1.70516,2.5734,22.91,12.05,30.75748328794256,high_throughput_screening,DFT_validated,Oxides,Ternary,24.51053243243243,2.9405405405405407,0.8175675675675675,13.16216216216216,0.027027027027027,3,1.901244813278008,0.2762441198316415,4.240000000000002,1.81955,8.975552637386814
5207,LiBi4F20,9.301582,-6.82277,1.589,-1.80548,0.0846,35.21,24.41,59.4838888034451,high_throughput_screening,DFT_validated,Halides,Ternary,48.913226560000005,3.5464,0.714,16.040000000000003,0.04,3,1.4424416222859484,0.2184327899107966,-8.21,3.68591,14.44888645984688
1592,GaSe,7.13609,-4.93224,0.725,-0.58159,0.029,33.0,21.14,52.26052938238721,DFT_training_benchmark,DFT,Chalcogenides,Binary,74.3415,2.18,1.225,14.5,0.0,2,1.5610217596972564,0.2360579324121857,-3.3500000000000014,3.19214,13.348886334592848
908,VS2,6.11302,-4.86907,0.0,-0.94178,2.099,49.36,29.91,74.65148828585876,DFT_training_benchmark,DFT,Chalcogenides,Binary,38.35716666666666,2.263333333333333,1.1166666666666667,12.333333333333332,0.0,2,1.6502841858910062,0.2479352772627675,-0.7350000000000136,4.51641,19.776664017467773
2376,PF5,5.80719,-4.39188,7.356,-2.57302,0.0,13.99,7.43,18.937475708502024,DFT_training_benchmark,DFT,Halides,Binary,20.99429633333333,3.681666666666666,0.5833333333333334,16.666666666666668,0.0,2,1.8829071332436071,0.2743927125506072,2.41,1.12193,5.488885990463526
6950,VSe,6.23494,-4.28669,0.0,-0.51504,1.6556,93.16,20.69,57.79166339074524,DFT_training_benchmark,DFT,Chalcogenides,Binary,64.95075,2.09,1.25,10.5,0.0,2,4.502658289028516,0.3966085884665356,88.01500000000001,3.12419,33.35221645111018
7076,ZrS2,6.20593,-4.22558,0.911,-1.68597,1.8375,44.09,31.87,77.04602595345438,DFT_training_benchmark,DFT,Chalcogenides,Binary,51.78466666666666,2.163333333333333,1.1833333333333331,12.0,0.0,2,1.3834326953247569,0.2087547215791397,-13.539999999999992,4.81237,18.237775410650443
2307,ZrO2,5.47201,-4.20357,3.914,-3.64248,1.4873,178.77,46.68,128.82699943395255,DFT_training_benchmark,DFT,Oxides,Binary,41.07426666666667,2.7366666666666664,0.9166666666666664,12.0,0.0,2,3.829691516709512,0.3798950239283693,151.45500000000004,7.04868,64.77666163847677
3073,PbSe,6.17733,-4.19048,0.76,-0.59552,0.2479,50.29,33.33,81.89734690553746,DFT_training_benchmark,DFT,Chalcogenides,Binary,143.07999999999998,2.44,1.475,15.0,0.0,2,1.508850885088509,0.2285830618892508,-7.889999999999986,5.03283,20.466664167603515
7042,FeC2O6,5.77587,-4.17171,0.0,-1.17809,0.0,19.0,12.000000000000002,29.739130434782616,DFT_training_benchmark,DFT,Oxides,Ternary,19.54031111111111,3.063333333333333,0.711111111111111,14.666666666666666,0.0,3,1.583333333333333,0.2391304347826087,-1.5000000000000036,1.8120000000000005,7.666664088694823
7120,AgClO2,6.2302,-4.16693,0.353,0.24216,1.2206,19.57,1.32,3.872923538230885,DFT_training_benchmark,DFT,Oxyhalides,Ternary,43.83,2.9925,0.95,15.0,0.0,3,14.825757575757576,0.4670164917541229,26.055,0.19932,6.669982777912572
4684,K(SbSe2)2,5.53608,-4.08341,1.091,-0.52624,1.2058,25.19,13.41,34.167016183412,DFT_training_benchmark,DFT,Chalcogenides,Ternary,85.49404285714286,2.16,1.3857142857142857,13.571428571428571,0.0,3,1.8784489187173752,0.273937963587323,4.260000000000005,2.02491,9.886663773038578
1995,HfCl4,5.24459,-4.03627,3.912,-1.87674,0.8768,14.97,9.3,23.11361372440509,DFT_training_benchmark,DFT,Halides,Binary,64.0604,2.7880000000000003,1.11,14.400000000000002,0.0,2,1.6096774193548389,0.2426674045379081,-0.7949999999999982,1.4043,6.023330727366651
3550,SbI3,6.05501,-3.99744,2.003,-0.3086,0.0848,10.77,5.7,14.535674822415151,DFT_training_benchmark,DFT,Halides,Binary,125.6183525,2.5075000000000003,1.4125,16.5,0.0,2,1.8894736842105264,0.2750591949486977,1.9050000000000007,0.8607,4.22333042784014
6960,ZrBr3,5.79321,-3.98859,0.407,-1.24148,0.0,5.000000000000001,4.0,9.473684210526317,DFT_training_benchmark,DFT,Halides,Binary,82.734,2.5525,1.25,13.75,0.0,2,1.2500000000000002,0.1842105263157895,-2.4999999999999982,0.604,2.1111088827184017
1068,Nb2O5,4.99861,-3.9619,1.84,-2.39579,3.4128,145.69,57.55,152.56183635922528,DFT_training_benchmark,DFT,Oxides,Binary,37.97282285714285,2.9142857142857146,0.8428571428571427,12.857142857142858,0.0,2,2.531537793223284,0.3254720795762403,74.66,8.69005,54.957774175449984
6967,NaHO,5.96233,-3.9428,3.652,-1.39886,0.7984,31.39,15.17,39.19587250777391,DFT_training_benchmark,DFT,Oxides,Ternary,13.33236976,2.19,0.8833333333333333,6.0,0.0,3,2.069215557020435,0.2918876897750137,9.160000000000004,2.29067,12.14888578935697
6995,CN2,5.49157,-3.84911,2.017,0.82056,5.1075,220.2,185.38,434.27277713421125,DFT_training_benchmark,DFT,Pnictides,Binary,13.341366666666667,2.876666666666666,0.6666666666666666,14.666666666666666,0.0,2,1.1878304024166575,0.1713042861533369,-133.15000000000003,27.99238,93.99777561329084
7124,PbIF,5.70706,-3.84182,2.013,-1.59793,0.0,31.31,15.55,40.02406375593716,DFT_training_benchmark,DFT,Halides,Ternary,117.70095773333333,2.99,1.2333333333333334,15.999999999999998,0.0,3,2.013504823151125,0.2869473876507124,8.089999999999996,2.34805,12.164441405162504
1526,VS,5.09963,-3.81623,0.0,-0.63798,1.7655,141.59,68.45,176.85114046470136,DFT_training_benchmark,DFT,Chalcogenides,Binary,41.50325,2.105,1.175,10.5,0.0,2,2.068517165814463,0.2918271765135234,41.25999999999999,10.33595,54.80221912344554
1358,Cu2Te,5.17271,-3.78192,0.0,0.12454,0.0944,35.98,13.69,36.44738797993916,DFT_training_benchmark,DFT,Chalcogenides,Binary,84.89733333333334,1.9666666666666663,1.3666666666666667,12.666666666666666,0.0,2,2.6281957633308983,0.3311682972950752,19.745,2.06719,13.514440736513231
3857,AgSb2F12,5.40842,-3.77956,0.535,-2.07728,0.062,21.79,10.55,27.25185063224447,DFT_training_benchmark,DFT,Halides,Ternary,38.62460255999999,3.5860000000000003,0.7,16.333333333333336,0.0,3,2.065402843601896,0.2915569020021075,6.310000000000002,1.59305,8.435552460150193
